album_id,title,r,g,b,file
1989_taylors_version,1989 (Taylor's Version),0.624,0.629,0.634,data/swift/1989_taylors_version.jpg
1989,1989,0.789,0.743,0.678,data/swift/1989.jpg
evermore,Evermore,0.5,0.449,0.423,data/swift/evermore.jpg
fearless_taylors_version,Fearless (Taylor's Version),0.591,0.47,0.3,data/swift/fearless_taylors_version.jpg
fearless,Fearless,0.824,0.74,0.611,data/swift/fearless.jpg
folklore,Folklore,0.66,0.66,0.66,data/swift/folklore.jpg
lover,Lover,0.839,0.742,0.806,data/swift/lover.jpg
midnights,Midnights,0.641,0.556,0.557,data/swift/midnights.jpg
red_taylors_version,Red (Taylor's Version),0.442,0.321,0.254,data/swift/red_taylors_version.jpg
red,Red,0.396,0.327,0.336,data/swift/red.jpg
reputation,Reputation,0.657,0.657,0.657,data/swift/reputation.jpg
speak_now_taylors_version,Speak Now (Taylor's Version),0.316,0.187,0.218,data/swift/speak_now_taylors_version.jpg
speak_now,Speak Now,0.749,0.589,0.67,data/swift/speak_now.jpg
taylor_swift,Taylor Swift,0.532,0.505,0.414,data/swift/taylor_swift.jpg
the_tortured_poets_department,The Tortured Poets Department,0.794,0.781,0.757,data/swift/the_tortured_poets_department.jpg
